,year,name,variant,price,emi,driven_km,fuel,transmission,registration,location,city
0,2023,Nissan MAGNITE,XL,517000.0,9135.0,41774,Petrol,Manual,TS-36,"Kompally, Hyderabad",Hyderabad
1,2022,Maruti Swift,VXI,519000.00000000006,9156.0,40355,Petrol,Manual,TS-15,"Upperpally, Attapur, Hyderabad",Hyderabad
2,2020,Renault Kwid,CLIMBER 1.0 (O),282000.0,4982.0,66791,Petrol,Manual,TS-15,"Kompally, Hyderabad",Hyderabad
3,2023,Maruti Swift,ZXI,593000.0,10470.0,62871,Petrol,Manual,TS-07,"Upperpally, Attapur, Hyderabad",Hyderabad
4,2019,KIA SELTOS,HTK 1.5 PETROL,661000.0,11665.0,70038,Petrol,Manual,TS-10,"Upperpally, Attapur, Hyderabad",Hyderabad
5,2021,Maruti Baleno,ZETA PETROL 1.2,540000.0,9525.0,53163,Petrol,Manual,TS-11,"Upperpally, Attapur, Hyderabad",Hyderabad
6,2018,Hyundai Verna,1.6 VTVT SX O,657000.0,11600.0,59610,Petrol,Manual,TS-07,"Kompally, Hyderabad",Hyderabad
7,2021,KIA SELTOS,HTK 1.5 PETROL,743000.0,13123.0,79687,Petrol,Manual,TS-07,"Kompally, Hyderabad",Hyderabad
8,2019,Ford Ecosport,TITANIUM 1.5L THUNDER EDTION PETROL,631000.0,11137.0,78090,Petrol,Manual,TS-08,"Bachupally, Hyderabad",Hyderabad
9,2018,Maruti Alto 800,LXI,220000.00000000003,3889.0,64166,Petrol,Manual,TS-08,"Kompally, Hyderabad",Hyderabad
10,2016,Maruti Swift Dzire,VDI,359000.0,9446.0,111183,Diesel,Manual,TS-08,"Kompally, Hyderabad",Hyderabad
11,2019,Hyundai Grand i10,ASTA 1.2 KAPPA VTVT,422000.0,7449.0,49523,Petrol,Manual,TS-10,"Upperpally, Attapur, Hyderabad",Hyderabad
12,2022,MG HECTOR PLUS,SELECT 2.0 DIESEL TURBO MT 7-STR,1380000.0,23629.0,61224,Diesel,Manual,AP-39,"Kompally, Hyderabad",Hyderabad
13,2013,Maruti Swift Dzire,ZXI,320000.0,15064.0,74304,Petrol,Manual,AP-09,"Kompally, Hyderabad",Hyderabad
14,2020,KIA SONET,GTX PLUS 1.0 DCT DUAL TONE,860000.0,14725.0,65337,Petrol,,TS-08,"GVK One Mall, Banjara Hills, Hyderabad, Telangana",Hyderabad
15,2016,Mahindra XUV500,W4,607000.0,15979.0,49217,Diesel,Manual,TS-08,"Kompally, Hyderabad",Hyderabad
16,2022,Maruti Vitara Brezza,VXI,591000.0,10427.0,54374,Petrol,Manual,TS-08,"Bachupally, Hyderabad",Hyderabad
17,2014,Maruti Swift Dzire,VDI,294000.0,13840.0,150064,Diesel,Manual,AP-31,"Kompally, Hyderabad",Hyderabad
18,2019,Mahindra XUV500,W7,752000.0,13280.0,98564,Diesel,Manual,TS-09,"Kompally, Hyderabad",Hyderabad
19,2014,Tata Indica Vista,VX TECH QUADRAJET,202999.99999999997,9545.0,38245,Diesel,Manual,AP-16,"Kompally, Hyderabad",Hyderabad
20,2018,Hyundai Creta,SX 1.6 Petrol,717000.0,12652.0,83407,Petrol,Manual,TS-08,"Kompally, Hyderabad",Hyderabad
21,2018,Datsun Go Plus,A(O),289000.0,5094.0,55781,Petrol,Manual,TS-10,"Uppal, Hyderabad",Hyderabad
22,2015,Toyota Innova,2.5 GX 8 STR,660000.0,21925.0,98235,Diesel,Manual,TS-09,"Bachupally, Hyderabad",Hyderabad
23,2015,Fiat Punto EVO,EMOTION 1.3 MULTIJET,240000.0,7971.0,108236,Diesel,Manual,TS-07,"Kompally, Hyderabad",Hyderabad
24,2020,MG HECTOR,SHARP 1.5 DCT PETROL,786000.0,17475.0,139982,Petrol,,TS-08,"Bachupally, Hyderabad",Hyderabad
25,2020,Renault Kwid,CLIMBER 1.0 (O),284000.0,5012.0,49763,Petrol,Manual,TS-15,"Kompally, Hyderabad",Hyderabad
26,2021,Maruti Baleno,ZETA PETROL 1.2,585000.0,10327.0,61273,Petrol,Manual,TS-08,"Kompally, Hyderabad",Hyderabad
27,2018,Tata NEXON,XZ PLUS PETROL,503000.0,8876.0,59034,Petrol,Manual,TS-08,"Kompally, Hyderabad",Hyderabad
28,2021,Tata NEXON,XM SUNROOF PETROL,599000.0,10574.0,56947,Petrol,Manual,TS-08,"GVK One Mall, Banjara Hills, Hyderabad, Telangana",Hyderabad
29,2022,Maruti Swift,VXI AMT,553000.0,9762.0,46664,Petrol,,TS-08,"Kompally, Hyderabad",Hyderabad
30,2019,Hyundai Verna,1.6 VTVT SX O,686000.0,12115.0,65467,Petrol,Manual,TS-08,"Bachupally, Hyderabad",Hyderabad
31,2013,Maruti Swift,ZXI,305000.0,14357.0,93503,Petrol,Manual,AP-24,"Kompally, Hyderabad",Hyderabad
